program,station,longitude,latitude
DWR,SMSCG,-121.8872,38.0934
EMP,NZ028,-122.047222,38.117222
EMP,NZ032,-122.020833,38.170278
EMP,NZ054,-121.906389,38.045833
EMP,NZ060,-121.828889,38.064444
EMP,NZ064,-121.738056,38.084722
EMP,NZ068,-121.6836111,38.14805556
EMP,NZS42,-122.0472222,38.18055556
EMP,NZEZ2,NA,NA
EMP,NZEZ6,NA,NA
FMWT,416,-122.09415,38.0702
FMWT,508,-121.91492,38.04813
FMWT,513,-121.86842,38.0592
FMWT,519,-121.94725,38.07378
FMWT,602,-122.04183,38.11783
FMWT,605,-122.05738,38.14853
FMWT,606,-122.02177,38.1698
FMWT,608,-121.88332,38.0887
FMWT,704,-121.77892,38.07087
FMWT,706,-121.74,38.0903
FMWT,707,-121.70797,38.11397
FMWT,802,-121.83875,38.03528
FRP,GRIZZ,-121.98897,38.113421
STN,405,-122.1505044,38.03805793
STN,411,-122.0833056,38.05130556
STN,418,-122.0978056,38.06480556
STN,501,-122.022459,38.07337703
STN,504,-122.0137222,38.06105556
STN,508,-121.9230027,38.0455577
STN,513,-121.8640047,38.05945818
STN,519,-121.9596944,38.07230556
STN,520,-121.8693056,38.03280556
STN,602,-122.0461944,38.114
STN,606,-122.0220091,38.16775731
STN,609,-121.938,38.16719444
STN,610,-121.8891944,38.11880556
STN,704,-121.7750077,38.06776131
STN,706,-121.7390041,38.09005982
STN,707,-121.7060062,38.11225854
STN,801,-121.847,38.05561111
STN,HONK,-121.92111,38.0728
STN,MONT,-121.90889,38.14387
